raw_names,names,имена,synsets,hypernyms,tags
/a/abbey,abbey,аббатство,abbey,church,church
/a/airplane_cabin,airplane cabin,кабина самолета,,,airport
/a/airport_terminal,airport terminal,терминал аэропорта,air terminal,terminal,airport
/a/alley,alley,аллея,alley,street,street
/a/amphitheater,amphitheater,амфитеатр,amphitheater,gallery,art
/a/amusement_arcade,amusement arcade,развлекательная аркада,amusement arcade,arcade,entertainment
/a/amusement_park,amusement park,парк развлечений,amusement park,park,entertainment
/a/anechoic_chamber,anechoic chamber,безэховая камера,anechoic chamber,room,
/a/apartment_building/outdoor,apartment building,жилой дом,apartment building,building,
/a/apse/indoor,apse,апсида,apse,recess,church
/a/aquarium,aquarium,аквариум,aquarium,tank,entertainment
/a/aqueduct,aqueduct,акведук,aqueduct,conduit,architecture
/a/arch,arch,арка,arch,curve,architecture
/a/archive,archive,архив,archive,depository,science
/a/arrival_gate/outdoor,arrival gate,ворота прибытия,arrival gate,gate,airport
/a/art_gallery,art gallery,Галерея искусств,gallery,room,art
/a/art_school,art school,художественная школа,art school,conservatory,art
/a/art_studio,art studio,художественная студия,,,art
/a/assembly_line,assembly line,сборочная линия,production line,mechanical system,
/a/athletic_field/outdoor,athletic field,спортивная площадка,playing field,tract,sport
/a/atrium/public,atrium,атриум,chamber,people,
/a/attic,attic,чердак,loft,floor,home
/a/auditorium,auditorium,зрительный зал,auditorium,area,
/a/auto_factory,auto factory,авто завод,automobile factory,factory,
/b/badlands,badlands,бесплодный,badlands,land,nature
/b/badminton_court/indoor,badminton court,корт для бадминтона,badminton court,court,sport
/b/baggage_claim,baggage claim,получение багажа,baggage claim,area,airport
/b/bakery/shop,shop,магазин,shop,mercantile establishment,shopping
/b/balcony/exterior,balcony,балкон,balcony,structure,
/b/balcony/interior,balcony,балкон,balcony,structure,
/b/ball_pit,ball pit,Лунка,,,entertainment
/b/ballroom,ballroom,бальный,ballroom,room,
/b/bamboo_forest,bamboo forest,бамбуковый лес,,,forest
/b/banquet_hall,banquet hall,банкетный зал,,,
/b/bar,bar,бар,barroom,room,bar
/b/barn,barn,сарай,barn,farm building,
/b/barndoor,barndoor,дверь сарая,barndoor,flap,
/b/baseball_field,baseball field,бейсбольное поле,ball field,playing field,sport
/b/basement,basement,подвал,basement,floor,
/b/basilica,basilica,базилика,basilica,church,architecture
/b/basketball_court/outdoor,basketball court,баскетбольная площадка,basketball court,court,sport
/b/bathroom,bathroom,ванная,bathroom,room,home
/b/batters_box,batters box,коробка бэттеров,,,sport
/b/bayou,bayou,старица,bayou,lake,water
/b/bazaar/indoor,bazaar,восточный базар,bazaar,shop,shopping
/b/bazaar/outdoor,bazaar,восточный базар,bazaar,shop,shopping
/b/beach,beach,пляж,beach,geological formation,water
/b/beauty_salon,beauty salon,салон красоты,salon,shop,
/b/bedroom,bedroom,спальная комната,bedroom,room,home
/b/berth,berth,спальное место,position,occupation,
/b/biology_laboratory,biology laboratory,лаборатория биологии,biology lab,lab,science
/b/bistro/indoor,bistro,бистро,bistro,restaurant,cafe
/b/boardwalk,boardwalk,дощатый настил,boardwalk,walk,nature
/b/boat_deck,boat deck,шлюпочная палуба,boat deck,upper deck,
/b/boathouse,boathouse,навес для лодок,boathouse,shed,water
/b/bookstore,bookstore,книжный магазин,bookshop,shop,shopping
/b/booth/indoor,booth,стенд,booth,table,
/b/botanical_garden,botanical garden,Ботанический сад,arboretum,facility,garden
/b/bow_window/indoor,bow window,эркер,bay window,window,window
/b/bow_window/outdoor,bow window,эркер,bay window,window,window
/b/bowling_alley,bowling alley,кегельбан,bowling alley,building,entertainment
/b/boxing_ring,boxing ring,ринг,boxing ring,ring,sport
/b/brewery/indoor,brewery,пивоваренный завод,brewery,plant,
/b/bridge,bridge,мост,bridge,structure,water
/b/building_facade,building facade,фасад здания,,,architecture
/b/bullring,bullring,арена,bullring,stadium,entertainment
/b/burial_chamber,burial chamber,Погребальная камера,burial chamber,chamber,
/b/bus_interior,bus interior,интерьер автобуса,,,
/b/butchers_shop,butchers shop,мясная лавка,,,shopping
/b/butte,butte,отдельная возвышенность с крутыми или обрывистыми склонами,butte,hill,nature
/c/cabin/outdoor,cabin,салон самолета,cabin,compartment,
/c/cafeteria,cafeteria,кафетерий,cafeteria,restaurant,cafe
/c/campsite,campsite,кемпинг,campsite,site,nature
/c/campus,campus,кампус,campus,field,
/c/canal/natural,natural,натуральный,natural,achiever,water
/c/canal/urban,urban,городской,urban,,water
/c/candy_store,candy store,кондитерская,confectionery,shop,
/c/canyon,canyon,каньон,canyon,ravine,nature
/c/car_interior/backseat,backseat,заднее сиденье,backseat,inferiority,cars
/c/car_interior/frontseat,frontseat,переднее сиденье,,,cars
/c/carrousel,carrousel,балаган,carousel,conveyer belt,entertainment
/c/casino/indoor,casino,казино,casino,gambling house,entertainment
/c/castle,castle,замок,palace,mansion,architecture
/c/catacomb,catacomb,катакомба,catacomb,tunnel,
/c/cathedral/indoor,cathedral,собор,cathedral,church,church
/c/cathedral/outdoor,cathedral,собор,cathedral,church,church
/c/cavern/indoor,cavern,каверна,cavern,enclosure,
/c/cemetery,cemetery,кладбище,cemetery,site,
/c/chalet,chalet,шале,chalet,house,
/c/cheese_factory,cheese factory,сырный завод,,,
/c/chemistry_lab,chemistry lab,химическая лаборатория,chemistry lab,lab,science
/c/chicken_coop/indoor,chicken coop,курятник,chicken coop,farm building,
/c/chicken_coop/outdoor,chicken coop,курятник,chicken coop,farm building,
/c/childs_room,childs room,детская комната,,,home
/c/church/indoor,church,церковь,church,religion,church
/c/church/outdoor,church,церковь,church,religion,church
/c/classroom,classroom,класс,classroom,room,
/c/clean_room,clean room,чистая комната,clean room,room,science
/c/cliff,cliff,утес,cliff,geological formation,nature
/c/cloister/indoor,cloister,монастырь,religious residence,residence,architecture
/c/closet,closet,стенной шкаф,cupboard,storage space,
/c/clothing_store,clothing store,магазин одежды,clothing store,shop,shopping
/c/coast,coast,берег,seashore,shore,water
/c/cockpit,cockpit,кокпит,cockpit,compartment,
/c/coffee_shop,coffee shop,кофейный магазин,cafe,restaurant,cafe
/c/computer_room,computer room,компьютерная комната,,,
/c/conference_center,conference center,конференц-центр,conference center,center,
/c/conference_room,conference room,конференц-зал,conference room,room,
/c/construction_site,construction site,строительная площадка,,,
/c/control_room,control room,комната управления,control room,room,
/c/control_tower/outdoor,control tower,диспетчерская вышка,control tower,tower,
/c/corn_field,corn field,кукурузное поле,cornfield,grainfield,nature
